method,batch_size,context_len,generation_len,latency_mean_s,latency_p95_s,tokens_per_second
kv_cache,1,32,16,0.084361828251076,0.0892601774003196,189.6592372604954
naive_full_prefix,1,32,16,0.0844462137501977,0.092855162399428,189.46971438328725
kv_cache,1,32,32,0.1736013073746107,0.1765293102993382,184.33040905013377
naive_full_prefix,1,32,32,0.1831755104990406,0.1858213191977483,174.69584177939325
kv_cache,4,32,16,0.0811240520006322,0.0854225601011421,788.9152282420661
naive_full_prefix,4,32,16,0.0871621143755874,0.0904077771016091,734.2639684510142
kv_cache,4,32,32,0.1646256562503367,0.1708387648015559,777.5215778357036
naive_full_prefix,4,32,32,0.1796393281256314,0.1919716664509906,712.5388484557386
kv_cache,8,32,16,0.0916195991248969,0.1019743937513339,1397.0809872842697
naive_full_prefix,8,32,16,0.0931788906254951,0.0966614670021954,1373.7016951023595
kv_cache,8,32,32,0.1781017447501653,0.1824937958508599,1437.3806408191422
naive_full_prefix,8,32,32,0.1833685886249441,0.1845911205002267,1396.095165042764
kv_cache,1,128,16,0.0830188957506834,0.0874788851997436,192.72720812922017
naive_full_prefix,1,128,16,0.0893267290002768,0.096451904499554,179.1177196239931
kv_cache,1,128,32,0.168898322874611,0.1856024604001504,189.4631009672996
naive_full_prefix,1,128,32,0.1788607500006946,0.1946621773002334,178.9101298069907
kv_cache,4,128,16,0.0920970778752234,0.0959527516508387,694.9188994542212
naive_full_prefix,4,128,16,0.0984490467494652,0.1033794205997764,650.0824752815361
kv_cache,4,128,32,0.1617035937501896,0.1788328893517246,791.5717704935046
naive_full_prefix,4,128,32,0.2017257654993045,0.206709404049252,634.5247950016642
kv_cache,8,128,16,0.0826651616253002,0.0905414060511247,1548.4152874483066
naive_full_prefix,8,128,16,0.1897252032504184,0.1958710749013335,674.6599703522401
kv_cache,8,128,32,0.1745924478750566,0.1822828914508136,1466.2718984454636
naive_full_prefix,8,128,32,0.4006615210005293,0.4040142085506886,638.9433139491871
kv_cache,1,256,16,0.0875909011251678,0.091244483101218,182.66737520071763
naive_full_prefix,1,256,16,0.094691739625432,0.1015724358487204,168.96933210109444
kv_cache,1,256,32,0.1780777032495279,0.2305931914514075,179.6968369204572
naive_full_prefix,1,256,32,0.1794243386252674,0.1942583148991616,178.34815636039693
kv_cache,4,256,16,0.0887562031252855,0.0940972375987257,721.0763613858015
naive_full_prefix,4,256,16,0.2148409218757478,0.2181713125000897,297.894830469095
kv_cache,4,256,32,0.17186735412497,0.1857764495503943,744.7604034616562
naive_full_prefix,4,256,32,0.4385815053747137,0.4445333982517695,291.8499718556071
kv_cache,8,256,16,0.0887552032500025,0.0948212141505791,1442.1689694006348
naive_full_prefix,8,256,16,0.4164857343753283,0.4210285459506849,307.33345571123226
kv_cache,8,256,32,0.1814660987497518,0.1983226874996035,1410.7318213361332
naive_full_prefix,8,256,32,0.8831833593740157,0.8947560646969578,289.8605338097042
