method,device,dtype,batch_size,context_len,generation_len,tokens,latency_mean_s,latency_p50_s,latency_p95_s,latency_std_s,tokens_per_second
naive_full_prefix,mps,float32,1,32,16,16,0.08444621375019778,0.08407493800041266,0.09285516239942808,0.005527661957116063,189.46971438328725
kv_cache,mps,float32,1,32,16,16,0.08436182825107608,0.08404766700186883,0.08926017740031966,0.0031104670408649746,189.6592372604954
naive_full_prefix,mps,float32,1,32,32,32,0.18317551049904068,0.18355581250034447,0.18582131919774839,0.0022561680920162377,174.69584177939325
kv_cache,mps,float32,1,32,32,32,0.17360130737461077,0.17382924999947136,0.17652931029933824,0.002389238582010567,184.33040905013374
naive_full_prefix,mps,float32,1,128,16,16,0.08932672900027683,0.08729414550180081,0.09645190449955407,0.004256806502629428,179.1177196239931
kv_cache,mps,float32,1,128,16,16,0.08301889575068344,0.08213210400208482,0.08747888519974367,0.0026805404830315595,192.72720812922017
naive_full_prefix,mps,float32,1,128,32,32,0.17886075000069468,0.1768668120021175,0.19466217730023344,0.009751554820648852,178.9101298069907
kv_cache,mps,float32,1,128,32,32,0.16889832287461104,0.16739462499936053,0.18560246040015044,0.01036699002234532,189.4631009672996
naive_full_prefix,mps,float32,1,256,16,16,0.09469173962543209,0.09238897900104348,0.10157243584872049,0.004438683489493381,168.96933210109444
kv_cache,mps,float32,1,256,16,16,0.08759090112516787,0.08786147950013401,0.09124448310121806,0.0025331393154773784,182.66737520071763
naive_full_prefix,mps,float32,1,256,32,32,0.1794243386252674,0.1803068749995873,0.19425831489916162,0.009600037644877284,178.34815636039693
kv_cache,mps,float32,1,256,32,32,0.17807770324952799,0.16587479199733934,0.23059319145140758,0.030860970418850605,179.6968369204572
naive_full_prefix,mps,float32,4,32,16,64,0.08716211437558741,0.08804533299917239,0.0904077771016091,0.003089447718301331,734.2639684510142
kv_cache,mps,float32,4,32,16,64,0.08112405200063222,0.0835428749996936,0.08542256010114216,0.005567930720457965,788.9152282420661
naive_full_prefix,mps,float32,4,32,32,128,0.17963932812563144,0.17696206250002433,0.1919716664509906,0.008547104295309667,712.5388484557386
kv_cache,mps,float32,4,32,32,128,0.16462565625033676,0.16570164550103073,0.17083876480155596,0.005840986606026182,777.5215778357036
naive_full_prefix,mps,float32,4,128,16,64,0.0984490467494652,0.09819360449910164,0.10337942059977649,0.0030367097778662183,650.0824752815361
kv_cache,mps,float32,4,128,16,64,0.09209707787522348,0.09259689600003185,0.09595275165083876,0.00327322566523067,694.9188994542212
naive_full_prefix,mps,float32,4,128,32,128,0.20172576549930454,0.20161227099924872,0.20670940404925203,0.003378571956847621,634.5247950016642
kv_cache,mps,float32,4,128,32,128,0.1617035937501896,0.16719541649945313,0.1788328893517246,0.015245953554437745,791.5717704935046
naive_full_prefix,mps,float32,4,256,16,64,0.21484092187574788,0.2144194789998437,0.2181713125000897,0.0020119178952754833,297.894830469095
kv_cache,mps,float32,4,256,16,64,0.08875620312528554,0.08767510400139145,0.09409723759872576,0.0033725759751414147,721.0763613858015
naive_full_prefix,mps,float32,4,256,32,128,0.43858150537471374,0.43767341649800073,0.4445333982517695,0.003954752387754582,291.8499718556071
kv_cache,mps,float32,4,256,32,128,0.17186735412497,0.17159389550033666,0.18577644955039432,0.009327880960622486,744.7604034616562
naive_full_prefix,mps,float32,8,32,16,128,0.09317889062549511,0.09249199999794655,0.09666146700219543,0.002039329891381761,1373.7016951023595
kv_cache,mps,float32,8,32,16,128,0.09161959912489692,0.09346879149961751,0.10197439375133399,0.008865869072730955,1397.0809872842697
naive_full_prefix,mps,float32,8,32,32,256,0.1833685886249441,0.18333960449854203,0.1845911205002267,0.0008093471623116573,1396.095165042764
kv_cache,mps,float32,8,32,32,256,0.17810174475016538,0.1801834579982824,0.1824937958508599,0.005083345295277035,1437.3806408191422
naive_full_prefix,mps,float32,8,128,16,128,0.18972520325041842,0.18866789599996991,0.1958710749013335,0.003658663871746752,674.6599703522401
kv_cache,mps,float32,8,128,16,128,0.08266516162530024,0.08333593800125527,0.09054140605112479,0.0059174194886195425,1548.4152874483066
naive_full_prefix,mps,float32,8,128,32,256,0.4006615210005293,0.4014668750023702,0.40401420855068865,0.002956295748486022,638.9433139491871
kv_cache,mps,float32,8,128,32,256,0.17459244787505668,0.17236904150013288,0.1822828914508136,0.005781682386753616,1466.2718984454636
naive_full_prefix,mps,float32,8,256,16,128,0.4164857343753283,0.4166876870003762,0.42102854595068495,0.003850443102183335,307.33345571123226
kv_cache,mps,float32,8,256,16,128,0.08875520325000252,0.08881527099947562,0.09482121415057918,0.004378439847464301,1442.1689694006348
naive_full_prefix,mps,float32,8,256,32,256,0.8831833593740157,0.8855628124983923,0.8947560646969578,0.010253385006178374,289.8605338097042
kv_cache,mps,float32,8,256,32,256,0.18146609874975184,0.17879035399892018,0.1983226874996035,0.010448627407516339,1410.7318213361332
